dataset	sample	ambient	origin
VLP_HanniganG_2015	MG100246	HUMAN	SKIN
VLP_HanniganG_2015	MG100471	HUMAN	SKIN
VLP_HanniganG_2015	MG100241	HUMAN	SKIN
VLP_HanniganG_2015	MG100635	HUMAN	SKIN
VLP_HanniganG_2015	MG100276	HUMAN	SKIN
VLP_HanniganG_2015	MG100287	HUMAN	SKIN
VLP_HanniganG_2015	MG100492	HUMAN	SKIN
VLP_HanniganG_2015	MG100110	HUMAN	SKIN
VLP_HanniganG_2015	MG100482	HUMAN	SKIN
VLP_HanniganG_2015	MG100625	HUMAN	SKIN
VLP_HanniganG_2015	MG100663	HUMAN	SKIN
VLP_HanniganG_2015	MG100235	HUMAN	SKIN
VLP_HanniganG_2015	MG100643	HUMAN	SKIN
VLP_HanniganG_2015	MG100283	HUMAN	SKIN
VLP_HanniganG_2015	MG100461	HUMAN	SKIN
VLP_HanniganG_2015	MG100457	HUMAN	SKIN
VLP_HanniganG_2015	MG100490	HUMAN	SKIN
VLP_HanniganG_2015	MG100238	HUMAN	SKIN
VLP_HanniganG_2015	MG100609	HUMAN	SKIN
VLP_HanniganG_2015	MG100650	HUMAN	SKIN
VLP_HanniganG_2015	MG100644	HUMAN	SKIN
VLP_HanniganG_2015	MG100499	HUMAN	SKIN
VLP_HanniganG_2015	MG100456	HUMAN	SKIN
VLP_HanniganG_2015	MG100435	HUMAN	SKIN
VLP_HanniganG_2015	MG100689	HUMAN	SKIN
VLP_HanniganG_2015	MG100444	HUMAN	SKIN
VLP_HanniganG_2015	MG100498	HUMAN	SKIN
VLP_HanniganG_2015	MG100295	HUMAN	SKIN
VLP_HanniganG_2015	MG100475	HUMAN	SKIN
VLP_HanniganG_2015	MG100304	HUMAN	SKIN
VLP_HanniganG_2015	MG100252	HUMAN	SKIN
VLP_HanniganG_2015	MG100617	HUMAN	SKIN
VLP_HanniganG_2015	MG100649	HUMAN	SKIN
VLP_HanniganG_2015	MG100645	HUMAN	SKIN
VLP_HanniganG_2015	MG100496	HUMAN	SKIN
VLP_HanniganG_2015	MG100449	HUMAN	SKIN
