dataset	sample	ambient	origin
VLP_LyM_2016	CA90ESaliva	HUMAN	ORAL
VLP_LyM_2016	CA23BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA90EGutMonth6	HUMAN	STOOL
VLP_LyM_2016	CA24BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA40ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA11AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA11ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA6BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA40EGutMonth6	HUMAN	STOOL
VLP_LyM_2016	CA90BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA90AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA39ASaliva	HUMAN	ORAL
VLP_LyM_2016	CA16EGutMonth6	HUMAN	STOOL
VLP_LyM_2016	CA28CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA6AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA87DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA48DSaliva	HUMAN	ORAL
VLP_LyM_2016	CA14AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA5DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA27BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA5CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA87CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA6DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA40CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA13CSaliva	HUMAN	ORAL
VLP_LyM_2016	CA90CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA6CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA14DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA81EGutMonth6	HUMAN	STOOL
VLP_LyM_2016	CA85CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA87BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA23DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA28BSaliva	HUMAN	ORAL
VLP_LyM_2016	CA15BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA87AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA85DGutWeek8	HUMAN	STOOL
VLP_LyM_2016	CA13AGutDay0	HUMAN	STOOL
VLP_LyM_2016	CA39CGutDay7	HUMAN	STOOL
VLP_LyM_2016	CA87EGutMonth6	HUMAN	STOOL
VLP_LyM_2016	CA85EGutMonth6	HUMAN	STOOL
VLP_LyM_2016	CA90BGutDay3	HUMAN	STOOL
VLP_LyM_2016	CA11DSaliva	HUMAN	ORAL
VLP_ManriqueP_2016	Ind_1.1	HUMAN	STOOL
VLP_ManriqueP_2016	Ind_2.1	HUMAN	STOOL
VLP_ManriqueP_2016	Ind_2.2	HUMAN	STOOL
VLP_ManriqueP_2016	Ind_1.2	HUMAN	STOOL
VLP_MccannA_2018	IM061	HUMAN	STOOL
VLP_MccannA_2018	IM003	HUMAN	STOOL
VLP_MccannA_2018	IM082	HUMAN	STOOL
VLP_MccannA_2018	IM125	HUMAN	STOOL
VLP_MccannA_2018	IM118	HUMAN	STOOL
VLP_MccannA_2018	IM008	HUMAN	STOOL
VLP_MccannA_2018	EM245_T3	HUMAN	STOOL
VLP_MccannA_2018	EM198_T6	HUMAN	STOOL
VLP_MccannA_2018	EM235_T6	HUMAN	STOOL
VLP_MccannA_2018	IM117	HUMAN	STOOL
VLP_MccannA_2018	IM107	HUMAN	STOOL
VLP_MccannA_2018	IM011	HUMAN	STOOL
VLP_MccannA_2018	IM006	HUMAN	STOOL
VLP_MccannA_2018	EM100_T6	HUMAN	STOOL
VLP_MccannA_2018	IM064	HUMAN	STOOL
VLP_MccannA_2018	EM251_T3	HUMAN	STOOL
VLP_MccannA_2018	EM318_T0	HUMAN	STOOL
VLP_MccannA_2018	EM298_T0	HUMAN	STOOL
VLP_MccannA_2018	EM219_T3	HUMAN	STOOL
VLP_MccannA_2018	IM115	HUMAN	STOOL
VLP_MccannA_2018	EM241_T0	HUMAN	STOOL
VLP_MccannA_2018	EM314_T0	HUMAN	STOOL
VLP_MccannA_2018	IM057	HUMAN	STOOL
VLP_MccannA_2018	IM113	HUMAN	STOOL
VLP_MccannA_2018	EM175_T0	HUMAN	STOOL
VLP_MccannA_2018	EM274_T0	HUMAN	STOOL
VLP_MccannA_2018	EM195_T0	HUMAN	STOOL
VLP_MccannA_2018	IM015	HUMAN	STOOL
VLP_MccannA_2018	IM018	HUMAN	STOOL
VLP_MccannA_2018	IM104	HUMAN	STOOL
VLP_MccannA_2018	EM231_T3	HUMAN	STOOL
VLP_MccannA_2018	EM210_T0	HUMAN	STOOL
VLP_MccannA_2018	EM173_T3	HUMAN	STOOL
VLP_MccannA_2018	EM081_T3	HUMAN	STOOL
VLP_MccannA_2018	IM075	HUMAN	STOOL
VLP_MccannA_2018	IM074	HUMAN	STOOL
VLP_MccannA_2018	EM200_T3	HUMAN	STOOL
VLP_MccannA_2018	EM229_T3	HUMAN	STOOL
VLP_MccannA_2018	EM181_T3	HUMAN	STOOL
VLP_MccannA_2018	IM058	HUMAN	STOOL
VLP_Minot_2011	2016_d7_M1	HUMAN	STOOL
VLP_Minot_2011	2020_d7_M1	HUMAN	STOOL
VLP_Minot_2011	2019_d8_M1	HUMAN	STOOL
VLP_Minot_2011	2016_d8_M1	HUMAN	STOOL
VLP_Minot_2011	2012_d8_M1	HUMAN	STOOL
VLP_Minot_2011	2019_d1_M1	HUMAN	STOOL
VLP_Minot_2011	2016_d2_M1	HUMAN	STOOL
VLP_Minot_2011	1013_d1_M1	HUMAN	STOOL
VLP_Minot_2011	2020_d1_M1	HUMAN	STOOL
VLP_Minot_2011	2020_d8_M1	HUMAN	STOOL
VLP_Minot_2011	2012_d2_M1	HUMAN	STOOL
VLP_Minot_2011	2020_d2_M1	HUMAN	STOOL
VLP_Minot_2011	2011_d1_M1	HUMAN	STOOL
VLP_Minot_2011	2016_d1_M1	HUMAN	STOOL
VLP_Minot_2011	2011_d8_M1	HUMAN	STOOL
VLP_Minot_2011	2012_d7_M1	HUMAN	STOOL
VLP_Minot_2013	BLS020308_1014-01	HUMAN	STOOL
VLP_Minot_2013	BLS020309_1014-02	HUMAN	STOOL
VLP_Minot_2013	BLS020817_d03-1	HUMAN	STOOL
VLP_Minot_2013	BLS020818_d03-2	HUMAN	STOOL
VLP_Minot_2013	BLS020824_d13-1	HUMAN	STOOL
VLP_Minot_2013	BLS020829_d21-2	HUMAN	STOOL
VLP_Minot_2013	BLS020828_d21-1	HUMAN	STOOL
VLP_Minot_2013	BLS020819_d04-1	HUMAN	STOOL
VLP_Minot_2013	BLS020820_d05-1	HUMAN	STOOL
VLP_Minot_2013	BLS020813_d00-1	HUMAN	STOOL
VLP_Minot_2013	BLS020831_d22-2	HUMAN	STOOL
VLP_Minot_2013	BLS020310_1014-03	HUMAN	STOOL
VLP_Minot_2013	BLS020830_d22-1	HUMAN	STOOL
VLP_Minot_2013	BLS020816_d02-1	HUMAN	STOOL
VLP_Minot_2013	BLS020827_d15-1	HUMAN	STOOL
VLP_Minot_2013	BLS020815_d01-1	HUMAN	STOOL
VLP_Minot_2013	BLS020814_d00-2	HUMAN	STOOL
VLP_Minot_2013	BLS020821_d11-1	HUMAN	STOOL
VLP_Minot_2013	BLS020825_d13-2	HUMAN	STOOL
VLP_Minot_2013	BLS020822_d11-2	HUMAN	STOOL
VLP_Minot_2013	BLS020823_d12-1	HUMAN	STOOL
VLP_Minot_2013	BLS026407_d12-2	HUMAN	STOOL
VLP_Minot_2013	BLS020834_d24-1	HUMAN	STOOL
VLP_Minot_2013	BLS020826_d14-1	HUMAN	STOOL
VLP_Minot_2013	BLS020832_d23-1	HUMAN	STOOL
VLP_Minot_2013	BLS020833_d23-2	HUMAN	STOOL
VLP_Minot_2013	BLS020835_d25-1	HUMAN	STOOL
VLP_MohiuddinM_2015	Nickel_Beach_ED	ENVO	FRESHWATER
VLP_MohiuddinM_2015	Lakeside-2_VD	ENVO	FRESHWATER
VLP_MohiuddinM_2015	Long_Beach_C.E._VD	ENVO	FRESHWATER
VLP_MohiuddinM_2015	Lakeside_ED	ENVO	FRESHWATER
VLP_MohiuddinM_2015	Long_Beach_C.E._ED	ENVO	FRESHWATER
VLP_MohiuddinM_2015	Long_Beach-2_VD	ENVO	FRESHWATER
VLP_MohiuddinM_2015	Long_Beach-4_VD	ENVO	FRESHWATER
VLP_MohiuddinM_2015	Fifty_Point_ED	ENVO	FRESHWATER
VLP_MohiuddinM_2015	Long_Beach_ED	ENVO	FRESHWATER
VLP_MohiuddinM_2015	Lakeside-4_VD	ENVO	FRESHWATER
VLP_MohiuddinM_2015	Lakeside-1_VD	ENVO	FRESHWATER
VLP_MohiuddinM_2015	Nickel_Beach_VD	ENVO	FRESHWATER
VLP_MohiuddinM_2015	Long_Beach-3_VD	ENVO	FRESHWATER
VLP_MohiuddinM_2015	Lakeside-3_VD	ENVO	FRESHWATER
VLP_MohiuddinM_2015	Queens_Royal_ED	ENVO	FRESHWATER
VLP_MohiuddinM_2015	Long_Beach-1_VD	ENVO	FRESHWATER
VLP_MohiuddinM_2015	Fifty_Point_VD	ENVO	FRESHWATER
VLP_MohiuddinM_2015	Queens_Royal_VD	ENVO	FRESHWATER
VLP_MonacoC_2016	CJM00124	HUMAN	STOOL
VLP_MonacoC_2016	CJM00125	HUMAN	STOOL
VLP_MonacoC_2016	CJM00122	HUMAN	STOOL
VLP_MonacoC_2016	MBA4028	HUMAN	STOOL
VLP_MonacoC_2016	CJM00121	HUMAN	STOOL
VLP_MonacoC_2016	MBA1767	HUMAN	STOOL
VLP_MonacoC_2016	MBA4038	HUMAN	STOOL
VLP_MonacoC_2016	CJM00114	HUMAN	STOOL
VLP_MonacoC_2016	CJM00123	HUMAN	STOOL
VLP_MonacoC_2016	MBA1034	HUMAN	STOOL
VLP_MonacoC_2016	MBA1055	HUMAN	STOOL
VLP_MonacoC_2016	MBA1755	HUMAN	STOOL
VLP_MonacoC_2016	MBA1771	HUMAN	STOOL
VLP_MonacoC_2016	MBA1011	HUMAN	STOOL
VLP_MonacoC_2016	MBA1766	HUMAN	STOOL
VLP_MonacoC_2016	MBA1021	HUMAN	STOOL
VLP_MonacoC_2016	CJM00128	HUMAN	STOOL
VLP_MonacoC_2016	MBA4025	HUMAN	STOOL
VLP_MonacoC_2016	MBA4040	HUMAN	STOOL
VLP_MonacoC_2016	CJM00131	HUMAN	STOOL
VLP_MonacoC_2016	MBA1029	HUMAN	STOOL
VLP_MonacoC_2016	MBA1062	HUMAN	STOOL
VLP_MonacoC_2016	MBA4024	HUMAN	STOOL
VLP_MonacoC_2016	MBA1753	HUMAN	STOOL
VLP_MonacoC_2016	CJM00126	HUMAN	STOOL
VLP_MonacoC_2016	CJM00117	HUMAN	STOOL
VLP_MonacoC_2016	MBA4039	HUMAN	STOOL
VLP_MonacoC_2016	CJM00119	HUMAN	STOOL
VLP_MonacoC_2016	MBA1019	HUMAN	STOOL
VLP_MonacoC_2016	MBA1758	HUMAN	STOOL
VLP_MonacoC_2016	CJM00118	HUMAN	STOOL
VLP_MonacoC_2016	MBA4027	HUMAN	STOOL
VLP_MonacoC_2016	MBA1752	HUMAN	STOOL
VLP_MonacoC_2016	CJM00130	HUMAN	STOOL
VLP_MonacoC_2016	CJM00116	HUMAN	STOOL
VLP_MonacoC_2016	CJM00115	HUMAN	STOOL
VLP_MonacoC_2016	MBA4026	HUMAN	STOOL
VLP_MonacoC_2016	MBA1099	HUMAN	STOOL
VLP_MonacoC_2016	CJM00127	HUMAN	STOOL
VLP_MonacoC_2016	MBA1053	HUMAN	STOOL
VLP_MonacoC_2016	MBA1133	HUMAN	STOOL
VLP_MonacoC_2016	CJM00109	HUMAN	STOOL
VLP_MonacoC_2016	MBA1754	HUMAN	STOOL
VLP_MonacoC_2016	CJM00113	HUMAN	STOOL
VLP_MonacoC_2016	MBA4031	HUMAN	STOOL
VLP_MonacoC_2016	MBA1103	HUMAN	STOOL
VLP_MonacoC_2016	CJM00120	HUMAN	STOOL
VLP_MonacoC_2016	MBA1098	HUMAN	STOOL
VLP_MonacoC_2016	CJM00110	HUMAN	STOOL
VLP_MonacoC_2016	MBA1133_1	HUMAN	STOOL
VLP_MonacoC_2016	MBA4001	HUMAN	STOOL
VLP_MonacoC_2016	MBA1730	HUMAN	STOOL
VLP_MonacoC_2016	CJM00132	HUMAN	STOOL
VLP_MonacoC_2016	MBA1090	HUMAN	STOOL
VLP_MonacoC_2016	MBA4011	HUMAN	STOOL
VLP_MonacoC_2016	MBA4010	HUMAN	STOOL
VLP_MonacoC_2016	MBA4009	HUMAN	STOOL
VLP_MonacoC_2016	CJM00111	HUMAN	STOOL
VLP_MonacoC_2016	MBA1728	HUMAN	STOOL
VLP_MonacoC_2016	CJM00095	HUMAN	STOOL
VLP_MonacoC_2016	CJM00102	HUMAN	STOOL
VLP_MonacoC_2016	CJM00100	HUMAN	STOOL
VLP_MonacoC_2016	CJM00097	HUMAN	STOOL
VLP_MonacoC_2016	CJM00099	HUMAN	STOOL
VLP_MonacoC_2016	CJM00101	HUMAN	STOOL
VLP_MonacoC_2016	CJM00098	HUMAN	STOOL
VLP_NormanJ_2015	SID39	HUMAN	STOOL
VLP_NormanJ_2015	SID7	HUMAN	STOOL
VLP_NormanJ_2015	SID87	HUMAN	STOOL
VLP_NormanJ_2015	SID28	HUMAN	STOOL
VLP_NormanJ_2015	SID40	HUMAN	STOOL
VLP_NormanJ_2015	SID160	HUMAN	STOOL
VLP_NormanJ_2015	SID3	HUMAN	STOOL
VLP_NormanJ_2015	SID153	HUMAN	STOOL
VLP_NormanJ_2015	SID26	HUMAN	STOOL
VLP_NormanJ_2015	SID152	HUMAN	STOOL
VLP_NormanJ_2015	SID163	HUMAN	STOOL
VLP_NormanJ_2015	SID29	HUMAN	STOOL
VLP_NormanJ_2015	SID86	HUMAN	STOOL
VLP_NormanJ_2015	SID32	HUMAN	STOOL
VLP_NormanJ_2015	SID33	HUMAN	STOOL
VLP_NormanJ_2015	SID30	HUMAN	STOOL
VLP_NormanJ_2015	SID158	HUMAN	STOOL
VLP_NormanJ_2015	SID34	HUMAN	STOOL
VLP_NormanJ_2015	SID2	HUMAN	STOOL
VLP_NormanJ_2015	SID31	HUMAN	STOOL
VLP_NormanJ_2015	SID102	HUMAN	STOOL
VLP_NormanJ_2015	SID161	HUMAN	STOOL
VLP_NormanJ_2015	SID94	HUMAN	STOOL
VLP_NormanJ_2015	SID159	HUMAN	STOOL
VLP_NormanJ_2015	SID27	HUMAN	STOOL
VLP_NormanJ_2015	SID82	HUMAN	STOOL
VLP_NormanJ_2015	SID14	HUMAN	STOOL
VLP_NormanJ_2015	SID98	HUMAN	STOOL
VLP_NormanJ_2015	SID129	HUMAN	STOOL
VLP_NormanJ_2015	SID42	HUMAN	STOOL
VLP_NormanJ_2015	SID77	HUMAN	STOOL
VLP_NormanJ_2015	SID134	HUMAN	STOOL
VLP_NormanJ_2015	SID128	HUMAN	STOOL
VLP_NormanJ_2015	SID12	HUMAN	STOOL
VLP_NormanJ_2015	SID8	HUMAN	STOOL
VLP_NormanJ_2015	SID127	HUMAN	STOOL
VLP_NormanJ_2015	SID126	HUMAN	STOOL
VLP_NormanJ_2015	SID63	HUMAN	STOOL
VLP_NormanJ_2015	SID25	HUMAN	STOOL
VLP_NormanJ_2015	SID35	HUMAN	STOOL
VLP_NormanJ_2015	SID154	HUMAN	STOOL
VLP_NormanJ_2015	SID67	HUMAN	STOOL
VLP_NormanJ_2015	SID56	HUMAN	STOOL
VLP_NormanJ_2015	SID113	HUMAN	STOOL
VLP_NormanJ_2015	SID115	HUMAN	STOOL
VLP_NormanJ_2015	SID117	HUMAN	STOOL
VLP_NormanJ_2015	SID164	HUMAN	STOOL
VLP_NormanJ_2015	SID169	HUMAN	STOOL
VLP_NormanJ_2015	SID118	HUMAN	STOOL
VLP_NormanJ_2015	SID61	HUMAN	STOOL
VLP_NormanJ_2015	SID58	HUMAN	STOOL
VLP_NormanJ_2015	SID133	HUMAN	STOOL
VLP_NormanJ_2015	SID22	HUMAN	STOOL
VLP_NormanJ_2015	SID10	HUMAN	STOOL
VLP_NormanJ_2015	SID4	HUMAN	STOOL
VLP_NormanJ_2015	SID167	HUMAN	STOOL
VLP_NormanJ_2015	SID84	HUMAN	STOOL
VLP_NormanJ_2015	SID1	HUMAN	STOOL
VLP_NormanJ_2015	SID17	HUMAN	STOOL
VLP_NormanJ_2015	SID95	HUMAN	STOOL
VLP_NormanJ_2015	SID73	HUMAN	STOOL
VLP_NormanJ_2015	SID165	HUMAN	STOOL
VLP_NormanJ_2015	SID78	HUMAN	STOOL
VLP_NormanJ_2015	SID168	HUMAN	STOOL
VLP_NormanJ_2015	SID124	HUMAN	STOOL
VLP_NormanJ_2015	SID100	HUMAN	STOOL
VLP_NormanJ_2015	SID155	HUMAN	STOOL
VLP_NormanJ_2015	SID171	HUMAN	STOOL
VLP_NormanJ_2015	SID11	HUMAN	STOOL
VLP_NormanJ_2015	SID44	HUMAN	STOOL
VLP_NormanJ_2015	SID111	HUMAN	STOOL
VLP_NormanJ_2015	SID23	HUMAN	STOOL
VLP_NormanJ_2015	SID19	HUMAN	STOOL
VLP_NormanJ_2015	SID140	HUMAN	STOOL
VLP_NormanJ_2015	SID54	HUMAN	STOOL
VLP_NormanJ_2015	SID105	HUMAN	STOOL
VLP_NormanJ_2015	SID57	HUMAN	STOOL
VLP_NormanJ_2015	SID90	HUMAN	STOOL
VLP_NormanJ_2015	SID142	HUMAN	STOOL
VLP_NormanJ_2015	SID71	HUMAN	STOOL
VLP_NormanJ_2015	SID69	HUMAN	STOOL
VLP_NormanJ_2015	SID110	HUMAN	STOOL
VLP_NormanJ_2015	SID146	HUMAN	STOOL
VLP_NormanJ_2015	SID70	HUMAN	STOOL
VLP_NormanJ_2015	SID108	HUMAN	STOOL
VLP_NormanJ_2015	SID45	HUMAN	STOOL
VLP_NormanJ_2015	SID109	HUMAN	STOOL
VLP_NormanJ_2015	SID16	HUMAN	STOOL
VLP_NormanJ_2015	SID114	HUMAN	STOOL
VLP_NormanJ_2015	SID125	HUMAN	STOOL
VLP_NormanJ_2015	SID76	HUMAN	STOOL
VLP_NormanJ_2015	SID6	HUMAN	STOOL
VLP_NormanJ_2015	SID36	HUMAN	STOOL
VLP_NormanJ_2015	SID162	HUMAN	STOOL
VLP_NormanJ_2015	SID85	HUMAN	STOOL
VLP_NormanJ_2015	SID144	HUMAN	STOOL
VLP_NormanJ_2015	SID41	HUMAN	STOOL
VLP_NormanJ_2015	SID74	HUMAN	STOOL
VLP_NormanJ_2015	SID141	HUMAN	STOOL
VLP_NormanJ_2015	SID122	HUMAN	STOOL
VLP_NormanJ_2015	SID72	HUMAN	STOOL
VLP_NormanJ_2015	SID166	HUMAN	STOOL
VLP_NormanJ_2015	SID37	HUMAN	STOOL
VLP_NormanJ_2015	SID137	HUMAN	STOOL
VLP_NormanJ_2015	SID59	HUMAN	STOOL
VLP_NormanJ_2015	SID46	HUMAN	STOOL
VLP_NormanJ_2015	SID83	HUMAN	STOOL
VLP_NormanJ_2015	SID9	HUMAN	STOOL
VLP_NormanJ_2015	SID123	HUMAN	STOOL
VLP_NormanJ_2015	SID13	HUMAN	STOOL
VLP_NormanJ_2015	SID64	HUMAN	STOOL
VLP_NormanJ_2015	SID99	HUMAN	STOOL
VLP_NormanJ_2015	SID120	HUMAN	STOOL
VLP_NormanJ_2015	SID119	HUMAN	STOOL
VLP_NormanJ_2015	SID116	HUMAN	STOOL
VLP_NormanJ_2015	SID121	HUMAN	STOOL
VLP_NormanJ_2015	SID106	HUMAN	STOOL
VLP_NormanJ_2015	SID96	HUMAN	STOOL
VLP_NormanJ_2015	SID50	HUMAN	STOOL
VLP_NormanJ_2015	SID89	HUMAN	STOOL
VLP_NormanJ_2015	SID38	HUMAN	STOOL
VLP_NormanJ_2015	SID101	HUMAN	STOOL
VLP_NormanJ_2015	SID88	HUMAN	STOOL
VLP_NormanJ_2015	SID138	HUMAN	STOOL
VLP_NormanJ_2015	SID20	HUMAN	STOOL
VLP_NormanJ_2015	SID43	HUMAN	STOOL
VLP_NormanJ_2015	SID170	HUMAN	STOOL
VLP_NormanJ_2015	SID107	HUMAN	STOOL
VLP_NormanJ_2015	SID18	HUMAN	STOOL
VLP_NormanJ_2015	SID150	HUMAN	STOOL
VLP_NormanJ_2015	SID49	HUMAN	STOOL
VLP_NormanJ_2015	SID145	HUMAN	STOOL
VLP_NormanJ_2015	SID55	HUMAN	STOOL
VLP_NormanJ_2015	SID52	HUMAN	STOOL
VLP_NormanJ_2015	SID97	HUMAN	STOOL
VLP_NormanJ_2015	SID81	HUMAN	STOOL
VLP_NormanJ_2015	SID79	HUMAN	STOOL
VLP_NormanJ_2015	SID68	HUMAN	STOOL
VLP_NormanJ_2015	SID80	HUMAN	STOOL
VLP_NormanJ_2015	SID65	HUMAN	STOOL
VLP_NormanJ_2015	SID104	HUMAN	STOOL
VLP_NormanJ_2015	SID24	HUMAN	STOOL
VLP_NormanJ_2015	SID60	HUMAN	STOOL
VLP_NormanJ_2015	SID21	HUMAN	STOOL
VLP_NormanJ_2015	SID132	HUMAN	STOOL
VLP_NormanJ_2015	SID5	HUMAN	STOOL
VLP_NormanJ_2015	SID143	HUMAN	STOOL
VLP_NormanJ_2015	SID149	HUMAN	STOOL
VLP_NormanJ_2015	SID112	HUMAN	STOOL
VLP_NormanJ_2015	SID93	HUMAN	STOOL
VLP_NormanJ_2015	SID131	HUMAN	STOOL
VLP_NormanJ_2015	SID151	HUMAN	STOOL
VLP_NormanJ_2015	SID148	HUMAN	STOOL
VLP_NormanJ_2015	SID66	HUMAN	STOOL
VLP_NormanJ_2015	SID75	HUMAN	STOOL
VLP_NormanJ_2015	SID62	HUMAN	STOOL
VLP_NormanJ_2015	SID103	HUMAN	STOOL
VLP_NormanJ_2015	SID139	HUMAN	STOOL
VLP_NormanJ_2015	SID47	HUMAN	STOOL
VLP_NormanJ_2015	SID147	HUMAN	STOOL
VLP_NormanJ_2015	SID15	HUMAN	STOOL
VLP_NormanJ_2015	SID92	HUMAN	STOOL
VLP_NormanJ_2015	SID130	HUMAN	STOOL
VLP_NormanJ_2015	SID157	HUMAN	STOOL
VLP_NormanJ_2015	SID53	HUMAN	STOOL
VLP_NormanJ_2015	SID48	HUMAN	STOOL
VLP_NormanJ_2015	SID136	HUMAN	STOOL
VLP_NormanJ_2015	SID51	HUMAN	STOOL
VLP_NormanJ_2015	SID91	HUMAN	STOOL
VLP_NormanJ_2015	SID156	HUMAN	STOOL
VLP_NormanJ_2015	SID135	HUMAN	STOOL
VLP_ReyesA_2015	F57T2_8_9__2	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F229T1_10.4.09	HUMAN	STOOL
VLP_ReyesA_2015	F57T2_Cec_B7	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F23T2_3.11.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F23T2_22.9.8	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F284M_28.9.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F23T2_6.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F196T2_10.2.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F23T1_25.08.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F196T2_17.2.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F284T2_15.3.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F194T2_16.12.08	HUMAN	STOOL
VLP_ReyesA_2015	F57T2_8_9	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F196T1_18.11.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F229T1_27.2.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F229T1_13.2.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F93T2_17.10.08	HUMAN	STOOL
VLP_ReyesA_2015	F56T1_3d	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F37M_4.11.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F56T2_28.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F56T1_28.10.08	HUMAN	STOOL
VLP_ReyesA_2015	F56T2_R3d	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F56T2_25.11.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F23T2_17.11.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F56T2_2.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F56T1_30.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F268T2_9.9.09	HUMAN	STOOL
VLP_ReyesA_2015	F56T2_3d	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F196T1_3.3.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F112T1_2.1.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F196T1_31.3.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F37T1_26.8.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F259T1_1.12.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F229T2_13.3.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F95T2_6.3.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F95T1_5.6.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F95T1_19.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F196T2_3.3.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T2_28.10.08R	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F23T2_25.08.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F95M_14.11.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F268T2_26.8.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T2_30.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F47T1_19.11.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F47T1_27.08.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F138T1_3.4.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F284T1_15.3.10R	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F95T2_5.6.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F121T2_31.03.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F23T1_6.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F138T2_3.4.9	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F138T2_12.6.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F10M_19.8.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F121T2_1.12.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F138T1_30.1.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F47T1_13.01.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F112T2_13.2.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F121S_14.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F47T2_29.07.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F121T1_14.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F93T2_12.12.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F121T2_14.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F229T1_16.1.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F37T1_26.5.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F95S_17.10.08	HUMAN	STOOL
